title,title_link,authors,publications,snippet,hcp_name,num_articles
,,,,,Mari Åhs,5
,,,,,Mari Åhs,5
[HTML][HTML] Agreement between molecular subtyping and surrogate subtype classification: a contemporary population-based study of ER-positive/HER2-negative primary …,https://link.springer.com/article/10.1007/s10549-019-05378-7,"C Lundgren, PO Bendahl, Å Borg, A Ehinger… ","Breast cancer research …, 2019 ","Purpose Oestrogen receptor-positive (ER+) and human epidermal receptor 2-negative (HER2–) 
breast cancers are classified as Luminal A or B based on gene expression, but 
immunohistochemical markers are used for surrogate subtyping. The aims of this study were to …",Maria Ekholm,10
Two years of adjuvant tamoxifen provides a survival benefit compared with no systemic treatment in premenopausal patients with primary breast cancer: long-term …,https://www.diva-portal.org/smash/record.jsf?pid=diva2:950623,"M Ekholm, PO Bendahl, M Ferno… ","Journal of Clinical …, 2016 ","Purpose The aim of this study was to evaluate the long-term effect of 2 years of adjuvant 
tamoxifen compared with no systemic treatment (control) in premenopausal patients with breast 
cancer over different time periods through long-term (amp; gt; 25 years) follow-up. Patients …",Maria Ekholm,10
Highly reproducible results of breast cancer biomarkers when analysed in accordance with national guidelines–a Swedish survey with central re-assessment,https://www.tandfonline.com/doi/abs/10.3109/0284186X.2015.1037012,"M Ekholm, D Grabau, PO Bendahl, J Bergh… ","Acta …, 2015 ","Background. Biomarkers are crucial for decisions regarding adjuvant therapy in primary breast 
cancer, and their correct assessment is therefore of the utmost importance. Aims. To investigate 
the concordance between Swedish pathology departments and a reference laboratory…",Maria Ekholm,10
Immunohistochemical assessment of Ki67 with antibodies SP 6 and MIB 1 in primary breast cancer: a comparison of prognostic value and reproducibility,https://onlinelibrary.wiley.com/doi/abs/10.1111/his.12392,"M Ekholm, S Beglerbegovic, D Grabau… ","…, 2014 ","Aims To compare SP 6 and MIB 1 antibodies for assessment of Ki67 in primary breast cancer 
with regard to prognostic value and reproducibility. Methods and results A cohort of 237 
premenopausal women with node‐negative breast cancer, mainly (87%) not treated with …",Maria Ekholm,10
[HTML][HTML] Effects of adjuvant tamoxifen over three decades on breast cancer–free and distant recurrence–free interval among premenopausal women with oestrogen …,https://www.sciencedirect.com/science/article/pii/S0959804919300127,"M Ekholm, PO Bendahl, M Fernö… ","European Journal of …, 2019 ","Aims The primary aim was to compare 2 years of adjuvant tamoxifen versus no systemic 
treatment in premenopausal patients with oestrogen receptor (ER)–positive tumours, regarding 
breast cancer–free interval (BCFi) and distant recurrence–free interval (D-RFi), with 30 years …",Maria Ekholm,10
Survival from breast cancer in women with a BRCA2 mutation by treatment,https://www.nature.com/articles/s41416-020-01164-1,"DG Evans, KA Phillips, RL Milne, R Fruscio… ","British Journal of …, 2021 ","Background The impact of various breast-cancer treatments on patients with a BRCA2 
mutation has not been studied. We sought to estimate the impact of bilateral oophorectomy 
and other treatments on breast cancer-specific survival among patients with a germline BRCA2 …",Maria Ekholm,10
Good adherence to adjuvant endocrine therapy in early breast cancer–a population-based study based on the Swedish Prescribed Drug Register,https://www.tandfonline.com/doi/abs/10.1080/0284186X.2018.1442932,"C Lundgren, H Lindman, B Rolander, M Ekholm ","Acta Oncologica, 2018 ","Introduction: Adjuvant endocrine therapy improves recurrence-free and overall survival in 
primary breast cancer. However, not all patients complete their planned treatment, mostly 
because of side-effects. The aim of this study was to examine the adherence to adjuvant …",Maria Ekholm,10
[HTML][HTML] Tumor co-expression of progranulin and sortilin as a prognostic biomarker in breast cancer,https://bmccancer.biomedcentral.com/articles/10.1186/s12885-021-07854-0,"K Berger, S Rhost, S Rafnsdóttir… ","BMC …, 2021 ","The growth factor progranulin has been implicated in numerous biological processes such as 
wound healing, inflammation and progressive tumorigenesis. Both progranulin and its receptor 
sortilin are known to be highly expressed in subgroups of breast cancer and have been …",Maria Ekholm,10
[HTML][HTML] Tumour-infiltrating lymphocytes as a prognostic and tamoxifen predictive marker in premenopausal breast cancer: data from a randomised trial with long-term …,https://link.springer.com/article/10.1186/s13058-020-01364-w,"C Lundgren, PO Bendahl, M Ekholm, M Fernö… ","Breast Cancer …, 2020 ","Tumour-infiltrating lymphocytes (TILs) are of important prognostic and predictive value in 
human epidermal growth factor receptor 2-positive (HER2+) breast cancer (BC) and triple-negative 
breast cancer (TNBC), but their clinical relevance in oestrogen receptor-positive/HER2-…",Maria Ekholm,10
"[HTML][HTML] Carboplatin dose capping affects pCR rate in HER2-positive breast cancer patients treated with neoadjuvant Docetaxel, Carboplatin, Trastuzumab …",https://link.springer.com/article/10.1007/s10549-020-05868-z,"SJ Howell, F Coe, X Wang, L Horsley… ","Breast Cancer Research …, 2020 ","Purpose Estimated glomerular filtration rate (eGFR) is commonly used to calculate 
carboplatin doses and capping the eGFR may be used to reduce the risk of excessive dosing 
and toxicity. We sought to retrospectively examine the impact of our carboplatin guidelines on …",Maria Ekholm,10
[HTML][HTML] Average duration of prior treatment lines predicts clinical benefit to eribulin chemotherapy in patients with metastatic breast cancer,https://link.springer.com/article/10.1007/s10549-021-06438-7,"F Coe, V Misra, Y McCabe, H Adderley… ","Breast cancer research …, 2021 ","Purpose The aim of this study was to identify factors associated with progression-free survival 
(PFS) and overall survival (OS) in patients with metastatic breast cancer (MBC) treated 
with eribulin in a real-world setting, to improve information provision in those considering …",Maria Ekholm,20
Pohjavesialueiden kartoitus ja luokitus,https://helda.helsinki.fi/bitstream/handle/10138/38830/Korjausliuska_YO_2009.pdf?sequence=2,"R Britschgi, M Antikainen, M Ekholm-Peltonen… ",2009 ,"Tämä opas on tarkoitettu alueellisten ympäristökeskusten pohjavesiasiantuntijoille ja 
viranomaisille, pohjavesialueilla toimiville, pohjavettä käyttäville sekä pohjavedestä, sen käytöstä 
ja suojelusta kiinnostuneille. Oppaaseen on koottu tietoa pohjavesialueiden kartoituksesta ja …",Maria Ekholm,20
[PDF][PDF] Tumor Co-Expression of Progranulin and Sortilin Identifies a Highly Malignant Subgroup of Breast Cancer,https://www.researchsquare.com/article/rs-57694/latest.pdf,"K Berger, S Rhost, S Rafnsdóttir, É Hughes… ",2020 ,"Background The growth factor progranulin has been implicated in numerous biological 
processes such as wound healing, in ammation and progressive tumorigenesis. Both progranulin 
and its receptor sortilin are known to be highly expressed in subgroups of breast cancer …",Maria Ekholm,20
Abstract PS5-09: Tumour infiltrating lymphocytes of prognostic value in different molecular breast cancer subgroups and as a suggestive predictive factor for adjuvant …,https://cancerres.aacrjournals.org/content/81/4_Supplement/PS5-09.short,"C Lundgren, PO Bendahl, M Ekholm, M Fernö… ",2021 ,"BACKGROUND The molecular breast cancer subgroups comprise diverse immune biology; 
for human epidermal growth factor receptor 2-positive (HER2+) breast cancer (BC) and triple-negative 
breast cancer (TNBC) abundance of tumour infiltrating lymphocytes (TILs) have …",Maria Ekholm,20
[PDF][PDF] Prognostic and Predictive Markers in Primary Breast Cancer-Quality Assurance and Long-term Effects of Adjuvant tamoxifen Treatment,https://portal.research.lu.se/portal/files/40570850/e_spik_Maria_Ekholm_G5.pdf,M Ekholm ,2018 ,"Breast cancer is the most common cancer among women in Sweden and worldwide. When a 
patient is diagnosed with breast cancer, prognostic and predictive factors are used to estimate 
the prognosis and the likely benefit from different kinds of adjuvant therapy. A challenge …",Maria Ekholm,20
Modellering av olyckors påverkan på en järnvägsanläggnings driftsäkerhet och livscykelkostnad,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1300829,M Ekholm ,2019 ,"One of the challenges for the railroad system to be able to be competitive, are the delays and 
how to reduce these delays. Therefore, it is important to look over the cost of accidents for 
the whole society. Accidents, involving humans and animals constitutes a lot of delays today, …",Maria Ekholm,20
"Abstract OT3-06-03: ABC-SE, Advanced Breast Cancer–Statins and Endocrine treatment",https://cancerres.aacrjournals.org/content/78/4_Supplement/OT3-06-03.short,"S Borgquist, M Ekholm, M Feldt, T Schyman… ",2018 ,"Full Title: A randomized, open-label, multi-center, phase II study to compare the efficacy and 
tolerability of atorvastatin 40 mg in addition to endocrine treatment in patients with estrogen 
receptor (ER) positive advanced breast cancer with focus on mechanisms of resistance. …",Maria Ekholm,20
"Abstract P5-02-02: Central testing of ER, PR, HER2, and Ki67, routinely analyzed at 27 pathology departments in Sweden–Potential consequences for the choice of …",https://cancerres.aacrjournals.org/content/75/9_Supplement/P5-02-02.short,"M Ekholm, D Grabau, PO Bendahl, G Elmberger… ",2015 ,"Background Immunohistochemical (IHC) techniques are still gold standard for measurement 
of estrogen receptors (ER), progesterone receptors (PR), the proliferation marker Ki67, and 
human epidermal growth factor receptor 2 (HER2) (confirmation with in situ hybridization for 2…",Maria Ekholm,20
The eHealth Innovation Staircase,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1150166,"J Lagsten, M Nordström, M Ekholm ","… Data, Trento, Italy, June 18-19 …, 2015 ","In this research we contribute with an eHealth Innovation Staircase that represents innovation 
processes in healthcare based on service-dominant logic as a complement to the traditional 
goods-dominant logic view on innovation. The eHealth innovation staircase is useful for …",Maria Ekholm,20
Vesien tila hyväksi yhdessä: Oulujoen-Iijoen vesienhoitoalueen vesienhoitosuunnitelma vuosiksi 2016-2021,https://www.doria.fi/handle/10024/119891,"A Laine, M Ekholm-Peltonen, M Heikkinen, E Moilanen… ",2015 ,"Tähän vesienhoitosuunnitelmaan vuosiksi 2016–2021 on koottu tiedot vesien tilasta sekä 
tarvittavista toimenpiteistä vesien tilan parantamiseksi ja ylläpitämiseksi Oulujoen-Iijoen 
vesienhoitoalueella. Vesienhoitoalueen jokien yhteen lasketusta pituudesta noin 60 % on …",Maria Ekholm,20
Varberg–en stadsbild i förändring: En studie om genusmönster i staden,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1285245,M Ekholm ,2019 ,"ABSTRACT Ekholm, M. 2018. Varberg, en stadsbild i förändring–En studie om genusmönster i staden. Uppsatser",Maria Ekholm,30
[PDF][PDF] Kommunala ägardirektiv i Norrbotten: Undersökning om hur de kommunala bostadsaktiebolagen i Norrbottens län förhåller sig till sina ägardirektiv,https://www.diva-portal.org/smash/get/diva2:1023946/FULLTEXT02,M Ekholm ,2015 ,"Undersökningen började med att jag studerade ägardirektiven till de kommunalt ägda 
bostadsaktiebolagen i respektive kommun i Norrbotten. Syftet var att undersöka hur 
bostadsaktiebolagen i länet förhåller sig till ägardirektiven utifrån uppdrag 50 i Regleringsbrev för …",Maria Ekholm,30
[BOOK][B] Var är hemma och var är borta?: En etnologisk studie av assyriers/syrianers förhållande till hemlandet,https://www.diva-portal.org/smash/record.jsf?pid=diva2:15967,M Ekholm ,2005 ,"Uppsatsen behandlar folkgruppen assyrier/syrianers upplevelser och erfarenheter av livet i 
diaspora i allmänhet och förhållande till hemlandet Turabdin i synnerhet. Fenomenet hemlandet 
utgör uppsatsens centrala tema. Vad betyder hemlandet och vad ges det för innebörd? …",Maria Ekholm,30
[CITATION][C] Patient's experiences of undergoing computed tomography examination,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1013170,"M Ekholm, B Brännström ","Biennial conference of the Workgroup of …, 2004 ",,Maria Ekholm,30
[CITATION][C] Development of a NOx storage material for use in engine exhaust gases,https://odr.chalmers.se/handle/20.500.12380/173008,M Ekholm ,1999 ,"Chalmers Open Digital Repository: Development of a NOx storage material for use in engine 
exhaust gases Skip navigation Home Browse Communities & Collections Browse Items by: Issue 
Date Author Title Subject Language English Svenska Sign on to: My DSpace Receive email updates …",Maria Ekholm,30
[CITATION][C] Development of a NOx storage material for use in engine exhaust gases,https://odr.chalmers.se/handle/20.500.12380/173008,M Ekholm ,1999 ,"Chalmers Open Digital Repository: Development of a NOx storage material for use in engine 
exhaust gases Skip navigation Home Browse Communities & Collections Browse Items by: Issue 
Date Author Title Subject Language English Svenska Sign on to: My DSpace Receive email updates …",Maria Ekholm,30
[CITATION][C] Development of a NOx storage material for use in engine exhaust gases,https://odr.chalmers.se/handle/20.500.12380/173008,M Ekholm ,1999 ,"Chalmers Open Digital Repository: Development of a NOx storage material for use in engine 
exhaust gases Skip navigation Home Browse Communities & Collections Browse Items by: Issue 
Date Author Title Subject Language English Svenska Sign on to: My DSpace Receive email updates …",Maria Ekholm,30
[CITATION][C] Development of a NOx storage material for use in engine exhaust gases,https://odr.chalmers.se/handle/20.500.12380/173008,M Ekholm ,1999 ,"Chalmers Open Digital Repository: Development of a NOx storage material for use in engine 
exhaust gases Skip navigation Home Browse Communities & Collections Browse Items by: Issue 
Date Author Title Subject Language English Svenska Sign on to: My DSpace Receive email updates …",Maria Ekholm,30
[CITATION][C] Development of a NOx storage material for use in engine exhaust gases,https://odr.chalmers.se/handle/20.500.12380/173008,M Ekholm ,1999 ,"Chalmers Open Digital Repository: Development of a NOx storage material for use in engine 
exhaust gases Skip navigation Home Browse Communities & Collections Browse Items by: Issue 
Date Author Title Subject Language English Svenska Sign on to: My DSpace Receive email updates …",Maria Ekholm,30
[PDF][PDF] Selvitys pohjavesivarojen tutkimustarpeista Pohjois-Pohjanmaan ympäristökeskuksen alueella,https://www.doria.fi/bitstream/handle/10024/134326/AY404_red.pdf?sequence=2,"M Ekholm-Peltonen, M Jaako, A Miettunen, P Pesälä… ",2005 ,"… Selvityksessä käytetyn aineiston on koonnut ja muokannut geologi Maria EkholmPeltonen. 
Tutkimustarpeiden kuntakohtaisesta arvioinnista on pääosin vastannut vanhempi rakennusmestari 
Aarne Miettunen. Työn sisällölliseen määrittelyyn ja ohjaukseen ovat osallistuneet …",Maria Ekholm,30
,,,,,Gudrun Linderkers,0
,,,,,Gudrun Linderkers,0
,,,,,Gudrun Linderkers,0
,,,,,Karin Maltenius,0
,,,,,Karin Maltenius,0
,,,,,Karin Maltenius,0
"Inhibition of dipeptidyl peptidase-4 reduces glycemia, sustains insulin levels, and reduces glucagon levels in type 2 diabetes",https://academic.oup.com/jcem/article-abstract/89/5/2078/2844202,"BO Ahrén, M Landin-Olsson, PA Jansson… ","The journal of …, 2004 ","The stimulation of insulin vs. inhibition of glucagon secretion in relation to the antidiabetic action 
of glucagon-like peptide-1 (GLP-1) is not established. Here, the influence of a 4-wk increase 
in circulating GLP-1 by inhibition of dipeptidyl peptidase-4 (DPP-4) on 24-h glucose and …",Maria Svensson,10
Altered DNA methylation and differential expression of genes influencing metabolism and inflammation in adipose tissue from subjects with type 2 diabetes,https://diabetes.diabetesjournals.org/content/63/9/2962.short,"E Nilsson, PA Jansson, A Perfilyev, P Volkov… ","Diabetes, 2014 ","Genetics, epigenetics, and environment may together affect the susceptibility for type 2 diabetes 
(T2D). Our aim was to dissect molecular mechanisms underlying T2D using genome-wide 
expression and DNA methylation data in adipose tissue from monozygotic twin pairs …",Maria Svensson,10
[HTML][HTML] Fat cell enlargement is an independent marker of insulin resistance and 'hyperleptinaemia',https://link.springer.com/article/10.1007/s00125-006-0572-1,"M Lundgren, M Svensson, S Lindmark, F Renström… ","Diabetologia, 2007 ","Aims/hypothesis The aim of this study was to explore whether fat cell size in human 
subcutaneous and omental adipose tissue is independently related to insulin action and 
adipokine levels. Materials and methods Fat cells were prepared from abdominal subcutaneous …",Maria Svensson,10
"Early glycemic control, age at onset, and development of microvascular complications in childhood-onset type 1 diabetes: a population-based study in northern …",https://care.diabetesjournals.org/content/27/4/955.short,"M Svensson, JW Eriksson, G Dahlquist ","Diabetes care, 2004 ","OBJECTIVE—The aim of this work was to study the impact of glycemic control (HbA 1c ) early 
in disease and age at onset on the occurrence of incipient diabetic nephropathy (MA) and 
background retinopathy (RP) in childhood-onset type 1 diabetes. RESEARCH DESIGN AND …",Maria Svensson,10
Patient acceptance of CT colonography and conventional colonoscopy: prospective comparative study in patients with or suspected of having colorectal disease,https://pubs.rsna.org/doi/abs/10.1148/radiol.2222010669,"MH Svensson, E Svensson, A Lasson, M Hellström ","Radiology, 2002 ","PURPOSE: To prospectively evaluate, by means of self-assessed questionnaires, patient 
acceptance of computed tomographic (CT) colonography compared with that of conventional 
colonoscopy, when performed in patients with or suspected of having colorectal disease. …",Maria Svensson,10
Discovery of non-ETS gene fusions in human prostate cancer using next-generation RNA sequencing,https://genome.cshlp.org/content/21/1/56.short,"D Pflueger, S Terry, A Sboner, L Habegger… ","Genome …, 2011 ","Half of prostate cancers harbor gene fusions between TMPRSS2 and members of the ETS 
transcription factor family. To date, little is known about the presence of non-ETS fusion events 
in prostate cancer. We used next-generation transcriptome sequencing (RNA-seq) in order …",Maria Svensson,10
The incidence of retinopathy 10 years after diagnosis in young adult people with diabetes: results from the nationwide population-based Diabetes Incidence Study in …,https://care.diabetesjournals.org/content/26/2/349.short,"M Henricsson, L Nyström, G Blohmé, J Östman… ","Diabetes …, 2003 ","OBJECTIVE—To estimate the prevalence and severity of diabetic retinopathy (DR) 10 years 
after diagnosis in a nationwide population-based cohort study of young adult diabetic patients 
in Sweden. RESEARCH DESIGN AND METHODS—The Diabetes Incidence Study in …",Maria Svensson,10
N-myc downstream regulated gene 1 (NDRG1) is fused to ERG in prostate cancer,https://www.sciencedirect.com/science/article/pii/S147655860980136X,"D Pflueger, DS Rickman, A Sboner, S Perner… ","Neoplasia, 2009 ","A step toward the molecular classification of prostate cancer was the discovery of recurrent 
erythroblast transformation. specific rearrangements, most commonly fusing the androgen-regulated 
TMPRSS2 promoter to ERG. The TMPRSS2-ERG fusion is observed in around 90% …",Maria Svensson,10
Extracolonic and incidental findings on CT colonography (virtual colonoscopy),https://www.ajronline.org/doi/abs/10.2214/ajr.182.3.1820631,"M Hellström, MH Svensson… ","American Journal of …, 2004 ","OBJECTIVE. The objective of our study was to prospectively determine the frequency and clinical 
importance of extracolonic findings on CT colonography in symptomatic patients. SUBJECTS 
AND METHODS. One hundred eleven symptomatic patients referred for colonoscopy …",Maria Svensson,10
Intra-individual stability of CSF biomarkers for Alzheimer's disease over two years,https://content.iospress.com/articles/journal-of-alzheimers-disease/jad00759,"H Zetterberg, M Pedersen, K Lind… ","Journal of …, 2007 ","This study examines the intra-individual stability of cerebrospinal fluid (CSF) biomarkers for 
Alzheimer's disease (AD) over 2 years in 83 patients with mild cognitive impairment (MCI) 
and 17 cognitively healthy control individuals. All participants underwent clinical and …",Maria Svensson,10
Risk factors for the development of albuminuria and renal impairment in type 2 diabetes—the Swedish National Diabetes Register (NDR),https://academic.oup.com/ndt/article-abstract/26/4/1236/1878919,"H Afghahi, J Cederholm, B Eliasson… ","Nephrology Dialysis …, 2011 ","Background . The aim of this study was to identify clinical risk factors associated with the 
development of albuminuria and renal impairment in patients with type 2 diabetes (T2D). In 
addition, we evaluated if different equations to estimate renal function had an impact on …",Maria Svensson,20
Signs of nephropathy may occur early in young adults with diabetes despite modern diabetes management: results from the nationwide population-based Diabetes …,https://care.diabetesjournals.org/content/26/10/2903.short,"M Svensson, G Sundkvist, HJ Arnqvist, E Björk… ","Diabetes …, 2003 ","OBJECTIVE—To estimate the occurrence of early-onset renal involvement in a nationwide 
population-based cohort of young adults with diabetes in Sweden and relate the findings to 
glycemic control, type of diabetes, sex, smoking, and blood pressure. RESEARCH DESIGN …",Maria Svensson,20
Distinct genomic aberrations associated with ERG rearranged prostate cancer,https://onlinelibrary.wiley.com/doi/abs/10.1002/gcc.20647,"F Demichelis, SR Setlur, R Beroukhim… ","Genes …, 2009 ","Emerging molecular and clinical data suggest that ETS fusion prostate cancer represents a 
distinct molecular subclass, driven most commonly by a hormonally regulated promoter and 
characterized by an aggressive natural history. The study of the genomic landscape of …",Maria Svensson,20
A functional polymorphism in the manganese superoxide dismutase gene and diabetic nephropathy,https://diabetes.diabetesjournals.org/content/56/1/265.short,"A Möllsten, SL Marklund, M Wessman, M Svensson… ","Diabetes, 2007 ","Oxidative stress has been suggested to contribute to the development of diabetic nephropathy. 
Manganese superoxide dismutase (MnSOD) protects the cells from oxidative damage by 
scavenging free radicals. The demand for antioxidants is increased by smoking, which could …",Maria Svensson,20
Age at onset of childhood-onset type 1 diabetes and the development of end-stage renal disease: a nationwide population-based study,https://care.diabetesjournals.org/content/29/3/538.short,"M Svensson, L Nyström, S Schön, G Dahlquist ","Diabetes care, 2006 ","OBJECTIVE—To analyze the impact of age at onset on the development of end-stage renal 
disease (ESRD) due to diabetic nephropathy in a nationwide population-based cohort with 
childhood-onset type 1 diabetes. RESEARCH DESIGN AND METHODS—A record linkage …",Maria Svensson,20
"Hydrochlorothiazide, but not Candesartan, aggravates insulin resistance and causes visceral and hepatic fat accumulation: the mechanisms for the diabetes …",https://www.ahajournals.org/doi/abs/10.1161/HYPERTENSIONAHA.108.119404,"JW Eriksson, PA Jansson, B Carlberg, A Hägg… ","…, 2008 ","Treatment with angiotensin II receptor blockers is associated with lower risk for the development 
of type 2 diabetes mellitus compared with thiazide diuretics. The Mechanisms for the 
Diabetes Preventing Effect of Candesartan Study addressed insulin action and secretion and …",Maria Svensson,20
Carbon-ring microelectrode arrays for electrochemical imaging of single cell exocytosis: fabrication and characterization,https://pubs.acs.org/doi/abs/10.1021/ac3000368,"Y Lin, R Trouillon, MI Svensson, JD Keighron… ","Analytical …, 2012 ","Fabrication of carbon microelectrode arrays, with up to 15 electrodes in total tips as small as 
10–50 μm, is presented. The support structures of microelectrodes were obtained by pulling 
multiple quartz capillaries together to form hollow capillary arrays before carbon deposition. …",Maria Svensson,20
mTOR inhibition with rapamycin causes impaired insulin signalling and glucose uptake in human subcutaneous and omental adipocytes,https://www.sciencedirect.com/science/article/pii/S0303720712000548,"MJ Pereira, J Palming, M Rizell, M Aureliano… ","Molecular and cellular …, 2012 ","Rapamycin is an immunosuppressive agent used after organ transplantation, but its molecular 
effects on glucose metabolism needs further evaluation. We explored rapamycin effects on 
glucose uptake and insulin signalling proteins in adipocytes obtained via subcutaneous (n …",Maria Svensson,20
Individually addressable thin-film ultramicroelectrode array for spatial measurements of single vesicle release,https://pubs.acs.org/doi/abs/10.1021/ac4009385,"J Wang, R Trouillon, Y Lin, MI Svensson… ","Analytical …, 2013 ","Thin-film platinum ultramicroelectrode arrays (MEAs) with subcellular microelectrodes were 
developed for the spatial measurement of neurotransmitter release across single cells or 
clusters of single cells. MEAs consisting of 16, 25, and 36 square ultramicroelectrodes with …",Maria Svensson,20
"The immunosuppressive agents rapamycin, cyclosporin A and tacrolimus increase lipolysis, inhibit lipid storage and alter expression of genes involved in lipid …",https://www.sciencedirect.com/science/article/pii/S0303720712004820,"MJ Pereira, J Palming, M Rizell, M Aureliano… ","Molecular and cellular …, 2013 ","Cyclosporin A (CsA), tacrolimus and rapamycin are immunosuppressive agents (IAs) associated 
with insulin resistance and dyslipidemia, although their molecular effects on lipid metabolism 
in adipose tissue are unknown. We explored IAs effects on lipolysis, lipid storage and …",Maria Svensson,20
Differentiation of human induced pluripotent stem cells into brown and white adipocytes: role of Pax3,https://stemcellsjournals.onlinelibrary.wiley.com/doi/abs/10.1002/stem.1607,"T Mohsen‐Kanson, AL Hafner, B Wdziekonski… ","Stem …, 2014 ","Identification of molecular mechanisms involved in generation of different types of adipocytes 
is progressing substantially in mice. However, much less is known regarding characterization 
of brown (BAP) and white adipocyte progenitors (WAPs) in humans, highlighting the need …",Maria Svensson,30
"Cumulative risk, age at onset, and sex-specific differences for developing end-stage renal disease in young patients with type 1 diabetes: a nationwide population …",https://diabetes.diabetesjournals.org/content/59/7/1803.short,"A Möllsten, M Svensson, I Waernbaum, Y Berhan… ","Diabetes, 2010 ","OBJECTIVE This study aimed to estimate the current cumulative risk of end-stage renal 
disease (ESRD) due to diabetic nephropathy in a large, nationwide, population-based 
prospective type 1 diabetes cohort and specifically study the effects of sex and age at onset. …",Maria Svensson,30
