hcp_name,num_articles,title,title_link,authors,publications,snippet
Henrik Lindman,30,[HTML][HTML] Long-term follow-up of the SBG 9401 study comparing tailored FEC-based therapy versus marrow-supported high-dose therapy,https://www.sciencedirect.com/science/article/pii/S0923753419378743,"N Wilking, E Lidbrink, T Wiklund, B Erikstein… ","Annals of oncology, 2007 ","Background: The purpose was to investigate adjuvant marrow-supportive high-dose 
chemotherapy compared with an equitoxicity-tailored comparator arm. Patients and methods: 
Five hundred and twenty-five women below the age of 60 years with operated high-risk primary …"
Ida Spång Rosén,0,,,,,
Ida Spång Rosén,0,,,,,
Ida Spång Rosén,0,,,,,
Jamila Adra,5,"Neoadjuvant trastuzumab, pertuzumab, and docetaxel vs trastuzumab emtansine in patients with ERBB2-positive breast cancer: a phase 2 randomized clinical trial",https://jamanetwork.com/journals/jamaoncology/article-abstract/2781086,"T Hatschek, T Foukakis, J Bjöhle, T Lekberg… ","JAMA …, 2021 ","Importance Trastuzumab emtansine (T-DM1) is presently approved for treatment of advanced 
breast cancer and after incomplete response to neoadjuvant therapy, but the potential of 
T-DM1 as monotherapy is so far unknown. Objective To assess pathologic complete response …"
Jamila Adra,5,Distribution of locoregional breast cancer recurrence in relation to postoperative radiation fields and biological subtypes,https://www.sciencedirect.com/science/article/pii/S036030161930848X,"J Adra, D Lundstedt, F Killander, E Holmberg… ","International Journal of …, 2019 ","Purpose To investigate incidence and location of locoregional recurrence (LRR) in patients 
who have received postoperative locoregional radiation therapy (LRRT) for primary breast 
cancer. LRR-position in relation to applied radiotherapy and the primary tumor biological …"
Jamila Adra,5,"He Huang, MD Yan-Ling Feng, MD",https://jamanetwork.com/journals/jamaoncology/article-abstract/2783010,JH Liu ,"JAMA, 2021 ","1. Huang H, Feng YL, Wan T, et al. Effectiveness of sequential chemoradiation vs concurrent 
chemoradiation or radiation alone in adjuvant treatment after hysterectomy for cervical 
cancer: the STARS phase 3 randomized clinical trial. JAMA Oncol. 2021; 7 (3): 361-369. doi: …"
Jamila Adra,5,[HTML][HTML] Whole-Body MRI Surveillance—Baseline Findings in the Swedish Multicentre Hereditary TP53-Related Cancer Syndrome Study (SWEP53),https://www.mdpi.com/1447198,"M Omran, E Tham, Y Brandberg, H Ahlström… ","Cancers, 2022 ","Simple Summary Individuals who are born with a disease-causing variant of the TP53 gene 
(hereditary TP53-related cancer syndrome, hTP53rc), also known as the Li–Fraumeni 
syndrome, have a very high (70–100%) lifetime risk of developing cancer and at younger ages. …"
Jamila Adra,5,Risk factors for locoregional disease recurrence after breast‐conserving therapy in patients with breast cancer treated with neoadjuvant chemotherapy: An …,https://acsjournals.onlinelibrary.wiley.com/doi/abs/10.1002/cncr.31518,"A Valachis, EP Mamounas, EA Mittendorf, N Hayashi… ","Cancer, 2018 ","BACKGROUND Several studies have reported a high risk of local disease recurrence (LR) 
and locoregional disease recurrence (LRR) in patients with breast cancer after neoadjuvant 
chemotherapy (NCT) and breast‐conserving therapy (BCT). The objective of the current study …"
Jamila Adra,5,,,,,
Jamila Adra,5,,,,,
Jan Frisell,10,[HTML][HTML] Long-term effects of mammography screening: updated overview of the Swedish randomised trials,https://www.sciencedirect.com/science/article/pii/S0140673602080200,"L Nyström, I Andersson, N Bjurstam, J Frisell… ","The Lancet, 2002 ","Background There has been much debate about the value of screening mammography. 
Here we update the overview of the Swedish randomised controlled trials on mammography 
screening up to and including 1996. The Kopparberg part of the Two-County trial was not …"
Jan Frisell,10,Breast cancer screening with mammography: overview of Swedish randomised trials,https://www.sciencedirect.com/science/article/pii/014067369391067V,"L Nyström, S Wall, LE Rutqvist, A Lindgren, M Lindqvist… ","The Lancet, 1993 ","Despite encouraging results from screening trials the efficacy of mammography in reducing 
mortality remains somewhat controversial. Five studies have been done in Sweden. This 
overview, based on 282 777 women followed for 5-13 years in randomised trials in Malmö, …"
Jan Frisell,10,[HTML][HTML] Breast cancer in young women: poor survival despite intensive treatment,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0007695,"H Fredholm, S Eaker, J Frisell, L Holmberg… ","PloS one, 2009 ","Background Breast cancer is uncommon in young women and correlates with a less favourable 
prognosis; still it is the most frequent cancer in women under 40, accounting for 30–40% of 
all incident female cancer. The aim of this study was to study prognosis in young women, …"
Jan Frisell,10,Followup after 11 years–update of mortality results in the Stockholm mammographic screening trial,https://link.springer.com/article/10.1023/A:1005872617944,"J Frisell, E Lidbrink, L Hellström, LE Rutqvist ","Breast cancer research and …, 1997 ","Results from several randomised mammography screening trials haveshown that it is possible 
to reduce mortalityin breast cancer by mammographic screening at leastfor women above 
50 years of age. Thepurpose of this article is to present dataon mortality in breast cancer in …"
Jan Frisell,10,Randomized study of mammography screening—preliminary report on mortality in the Stockholm trial,https://link.springer.com/article/10.1007/BF01975443,"J Frisell, G Eklund, L Hellström, E Lidbrink… ","Breast cancer research …, 1991 ","In March 1981, 40,318 women in Stockholm, aged 40–64, entered a randomized trial of breast 
cancer screening by single-view mammography alone versus no intervention in a control 
group of 20,000 women. The attendance rate during the first screening round was 81 per …"
Jan Frisell,10,[HTML][HTML] High prevalence of human cytomegalovirus proteins and nucleic acids in primary breast cancer and metastatic sentinel lymph nodes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0056795,"C Taher, J de Boniface, AA Mohammad, P Religa… ","PloS one, 2013 ","Background Breast cancer is a leading cause of death among women worldwide. Increasing 
evidence implies that human cytomegalovirus (HCMV) infection is associated with several 
malignancies. We aimed to examine whether HCMV is present in breast cancer and sentinel …"
Jan Frisell,10,[HTML][HTML] Breast cancer survival in relation to the metastatic tumor burden in axillary lymph nodes,https://www.diva-portal.org/smash/record.jsf?pid=diva2:377590,"Y Andersson, J Frisell, M Sylvan… ","Journal of clinical …, 2010 ","Purpose The aim of this study was to determine the prognostic significance of lymph node 
micrometastases in patients with breast cancer. Patients and Methods Between September 
2000 and January 2004, 3,369 patients with breast cancer were included in a prospective …"
Jan Frisell,10,Incidence and survival of Swedish patients with differentiated thyroid cancer,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.11275,"CI Lundgren, P Hall, A Ekbom, J Frisell… ","… journal of cancer, 2003 ","Papillary (PTC) and follicular (FTC) thyroid cancers are rare disorders but are, nevertheless, 
among the most common cancers in individuals below 40 years of age. From the population‐based 
Swedish Cancer Registry we identified 3,588 individuals with PTC and 1,966 with …"
Jan Frisell,10,[HTML][HTML] Axillary recurrence rate after negative sentinel node biopsy in breast cancer: three-year follow-up of the Swedish Multicenter Cohort Study,https://journals.lww.com/annalsofsurgery/Fulltext/2008/01000/Axillary_Recurrence_Rate_in_Breast_Cancer_Patients.00022.aspx,"L Bergkvist, J de Boniface, PE Jönsson, C Ingvar… ","Annals of …, 2008 ","Background: Sentinel lymph node biopsy is an established staging method in early breast 
cancer. After a negative biopsy, most institutions will not perform a completion axillary dissection. 
The present study reports the current axillary recurrence (AR) rate, overall and disease-…"
Jan Frisell,10,Determination of cause of death among breast cancer cases in the Swedish randomized mammography screening trials: A comparison between official statistics and …,https://www.tandfonline.com/doi/abs/10.3109/02841869509093948,"L Nyström, LG Larsson, LE Rutqvist, A Lindgren… ","Acta …, 1995 ","Between 1976 and 1982, four randomized mammography screening trials started in five 
screening centres in Sweden, involving 282 777 women (156 911 invited and 125 866 
controls) with the aim to study if invitation to screening reduced the breast cancer mortality. An …"
Jan Frisell,20,[HTML][HTML] Survival and axillary recurrence following sentinel node-positive breast cancer without completion axillary lymph node dissection: the randomized controlled …,https://bmccancer.biomedcentral.com/articles/10.1186/s12885-017-3361-y,"J de Boniface, J Frisell, Y Andersson… ","Bmc …, 2017 ","The role of axillary lymph node dissection (ALND) has increasingly been called into question 
among patients with positive sentinel lymph nodes. Two recent trials have failed to show a 
survival difference in sentinel node-positive breast cancer patients who were randomized …"
Jan Frisell,20,[HTML][HTML] Long-term outcome in young women with breast cancer: a population-based study,https://link.springer.com/article/10.1007/s10549-016-3983-9,"H Fredholm, K Magnusson, LS Lindström… ","Breast cancer research …, 2016 ","Purpose Whether young age at diagnosis of breast cancer is an independent risk factor for 
death remains controversial, and the question whether young age should be considered in 
treatment decisions is still to be answered. Methods From a population-based cohort of 22,017 …"
Jan Frisell,20,[PDF][PDF] Estrogen receptor β as a therapeutic target in breast cancer stem cells,https://academic.oup.com/jnci/article-pdf/doi/10.1093/jnci/djw236/17500704/djw236.pdf,"R Ma, GM Karthik, J Lövrot, F Haglund… ","JNCI: Journal of the …, 2017 ","Background: Breast cancer cells with tumor-initiating capabilities (BSCs) are considered to 
maintain tumor growth and govern metastasis. Hence, targeting BSCs will be crucial to 
achieve successful treatment of breast cancer. Methods: We characterized mammospheres …"
Jan Frisell,20,Updated overview of the Swedish Randomized Trials on Breast Cancer Screening with Mammography: age group 40-49 at randomization,https://academic.oup.com/jncimono/article-abstract/1997/22/57/2952597,"LG Larsson, I Andersson, N Bjurstam… ","JNCI …, 1997 ","The purpose of this overview is to estimate more precisely the long-term effect of mammography 
screening by adding four more years of follow-up to women aged 40-49 years in the four 
Swedish trials on mammography screening. Data from the four trials were merged and …"
Jan Frisell,20,"[HTML][HTML] Implant based breast reconstruction with acellular dermal matrix: safety data from an open-label, multicenter, randomized, controlled trial in the setting of …",https://journals.lww.com/annalsofsurgery/Fulltext/2019/05000/Implant_Based_Breast_Reconstruction_With_Acellular.10.aspx,"F Lohmander, J Lagergren, PG Roy… ","Annals of …, 2019 ","Objective: To evaluate clinical outcomes of using acellular dermal matrix (ADM) with implant 
based breast reconstructions (IBBRs) in a randomized controlled trial. Summary Background 
Data: The use of ADMs in IBBRs is widespread, but link between ADM and complications …"
Jan Frisell,20,An overview of the Swedish randomised mammography trials: total mortality pattern and the representivity of the study cohorts,https://journals.sagepub.com/doi/abs/10.1177/096914139600300208,"L Nyström, LG Larsson, S Wall… ","Journal of Medical …, 1996 ","Objectives –To analyse the cause of death pattern in the cohorts of women included in the 
Swedish randomised mammography screening trials by comparing the groups of invited and 
control women both with each other and with the general population of Swedish women. …"
Jan Frisell,20,The Stockholm Mammographic Screening Trial: Risks and benefits in age group 40-49 years,https://academic.oup.com/jncimono/article-abstract/1997/22/49/2952594,"J Frisell, E Lidbrink ","JNCI Monographs, 1997 ","This article presents updated data on breast cancer mortality for women under age 50 from 
the Stockholm Mammographic Screening Trial, as well as a review of some side effects 
associated with screening in this age group. Approximately 40,000 women aged 40-64 (14,842 …"
Jan Frisell,20,A prospective population‐based study of cutaneous malignant melanoma of the head and neck,https://onlinelibrary.wiley.com/doi/abs/10.1097/00005537-200009000-00017,"P Gillgren, E Månsson‐Brahme, J Frisell… ","The …, 2000 ","Objectives/Hypothesis For cutaneous malignant melanoma (CMM) of the head and neck, 
neither prognostic factors in population‐based groups, nor outcome with respect to surgical 
resection margins is clear. Therefore, we analyzed data in a regional registry to align treatment …"
Jan Frisell,20,The Swedish randomised mammography screening trials: analysis of their effect on the breast cancer related excess mortality,https://journals.sagepub.com/doi/abs/10.1177/096914139600300305,"LG Larsson, L Nyström, S Wall… ","Journal of medical …, 1996 ","Objective –To apply an indirect method for estimation of the breast cancer related excess 
mortality in the Swedish randomised mammography screening trials. Setting –Randomised 
trials on mammography screening have, in Sweden, been performed in the counties of …"
Jan Frisell,20,Analysis of interval breast carcinomas in a randomized screening trial in Stockholm,https://link.springer.com/article/10.1007/BF01806383,"J Frisell, G Eklund, L Hellström, A Somell ","Breast cancer research and …, 1987 ","In the interval between screening examinations, some cases of breast cancer are invariably 
detected clinically in patients whose mammogram was considered to be normal at the earlier 
screening. During the first interval in the Stockholm study, 60 interval cancers were detected…"
Jan Frisell,30,"Reduced breast cancer mortality after 20+ years of follow-up in the Swedish randomized controlled mammography trials in Malmö, Stockholm, and Göteborg",https://journals.sagepub.com/doi/abs/10.1177/0969141316648987,"L Nyström, N Bjurstam, H Jonsson… ","Journal of medical …, 2017 ","Objective To analyze the age- and trial-specific effects of the breast cancer screening trials 
with mammography in Malmö, Stockholm, and Göteborg. Methods The original trial files were 
linked to the Swedish Cancer and Cause of Death Registers to obtain date of breast cancer …"
Jan Frisell,30,[HTML][HTML] A prospective randomized study comparing two different expander approaches in implant-based breast reconstruction: one stage versus two stages,https://journals.lww.com/plasreconsurg/Fulltext/2012/08000/A_Prospective_Randomized_Study_Comparing_Two.3.aspx,"C Eriksen, EN Lindgren, J Frisell… ","Plastic and reconstructive …, 2012 ","Background: Implant-based reconstruction is performed in the majority of women offered 
primary reconstruction for breast cancer. Methods: Two different expander implants were 
compared prospectively. The primary endpoint was the number of operations needed in each …"
Jan Frisell,30,Effect of immediate implant-based breast reconstruction after mastectomy with and without acellular dermal matrix among women with breast cancer: a randomized …,https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2784613,"F Lohmander, J Lagergren, H Johansson… ","JAMA network …, 2021 ","Importance The use of acellular dermal matrix (ADM) in implant-based breast reconstructions 
(IBBRs) is established practice. Existing evidence validating ADMs proposed advantages, 
including improved cosmetics and more single-stage IBBRs, is lacking. Objective To …"
Jan Frisell,30,Transrectal ultrasound and computed tomography in preoperative staging of lower rectal adenocarcinoma,https://link.springer.com/article/10.1007/BF01887361,"S Goldman, H Arvidsson, U Norming… ","Gastrointestinal …, 1991 ","A comparison of transrectal ultrasound (TRUS) and computed tomography (CT) for staging 
of rectal carcinoma was performed. Thirty-two patients were examined by TRUS and 30 by 
CT. The results of these preoperative examinations were compared with postoperative …"
Jan Frisell,30,[HTML][HTML] Effect of primary site on prognosis in patients with cutaneous malignant melanoma. A study using a new model to analyse anatomical locations,https://journals.lww.com/melanomaresearch/fulltext/2005/04000/effect_of_primary_site_on_prognosis_in_patients.7.aspx,"P Gillgren, G Brattström, J Frisell, JO Persson… ","Melanoma …, 2005 ","The prognostic impact of different anatomical sites in patients with cutaneous malignant 
melanoma (CMM) has been widely debated and requires further elucidation. Therefore, we 
developed EssDoll©, a new computerized method to address the question of site in relation to …"
