hcp_name,num_articles,title,authors,journal,publication_year,abstract,hcp_name_short,scraped_from
Ana Campos,3,wholegenome sequencing triple negative breast cancers standard populationbased clinical setting,"J Staaf, D Glodzik, A Campos",breast cancer,2020.0,"… johan staaf, dominik glodzik, ana bosch campos, johan vallon-christersson, christel reuterswärd, jari häkkinen, andrea degasperi, tauanne dias amarante, lao saal, cecilia hegardt, hilary stobart, anna ehinger, christer larsson, lisa ryden, niklas loman, martin",A Campos,gs
Ana Campos,3,role nfkb pathway nitric oxide mammary gland involution weaning implications breast cancer,A Campos,,2013.0,"introducción la glándula mamaria es órgano dinámico que alcanza su máximo desarrollo funcional la lactancia, momento en el cual, través la producción leche, aporta nutrientes y protección inmunológica las crías los mamíferos. cuando la lactancia",A Campos,gs
Ana Campos,3,role nfkb pathway nitric oxide mammary gland involution weaning implications breast cancer,A Campos,,2013.0,"introducción la glándula mamaria es órgano dinámico que alcanza su máximo desarrollo funcional la lactancia, momento en el cual, través la producción leche, aporta nutrientes y protección inmunológica las crías los mamíferos. cuando la lactancia",A Campos,gs
Andreas Nearchou,27,prognostic factors outcomes osteosarcoma international collaboration,"E Pakos, A Nearchou, R Grimer",european journal of,2009.0,"we aimed evaluate prognostic significance traditional clinical predictors osteosarcoma international collaboration 10 teams investigators (2680 patients) participated. in multivariate models mortality risk increased older age, presence",A Nearchou,gs
Andreas Nearchou,27,solving inverse kinematics problem redundant robots operating complex environments modified genetic algorithm,A Nearchou,mechanism and machine theory,1998.0,"a new approach solve inverse kinematics problem redundant robot manipulators environments cluttered obstacles presented paper. the physical problem formulated optimization problem constraints, solved modified genetic",A Nearchou,gs
Andreas Nearchou,27,surgical management breast cancer brcamutation carriers systematic review metaanalysis,"A Valachis, A Nearchou, P Lind",breast cancer research and treatment,2014.0,"this meta-analysis investigates oncological safety breast-conserving therapy bct brca-mutation carriers risk contralateral breast cancer (cbc) compared non-carriers, potential risk factors ipsilateral breast recurrence (ibr) cbc grades",A Nearchou,gs
Andreas Nearchou,27,maximizing production rate workload smoothing assembly lines particle swarm optimization,A Nearchou,international journal of production economics,2011.0,"particle swarm optimization (pso) latest developed population heuristics rarely applied production operations management (pom) optimization problems. a possible reason absence that, pso introduced global optimizer",A Nearchou,gs
Andreas Nearchou,27,metaheuristics nature loop layout design problem,A Nearchou,international journal of production economics,2006.0,the loop-layout design problem (lldp) arises machines flexible manufacturing (fms) arranged closed ring-like network materials transported network direction. evaluation layout usually performed,A Nearchou,gs
Andreas Nearchou,27,balancing large assembly lines new heuristic based differential evolution method,A Nearchou,the international journal of advanced manufacturing,2007.0,"evolutionary algorithms genetic algorithms applied variety complex combinatorial optimization problems (cops) high success. however, relation classes cops, little reported experimental work concerning application",A Nearchou,gs
Andreas Nearchou,27,the effect operators genetic search large scheduling problems,A Nearchou,international journal of production economics,2004.0,"genetic algorithms (gas) applied variety complex combinatorial optimization problems high success. however, relation classes combinatorial problems, little reported experimental work application gas large scheduling",A Nearchou,gs
Andreas Nearchou,27,multiobjective fuzzy assembly line balancing genetic algorithms,"P Zacharia, A Nearchou",journal of intelligent manufacturing,2012.0,"this paper presents fuzzy extension simple assembly line balancing problem type 2 (salbp-2) fuzzy job processing times uncertainty, variability, imprecision occurred real-world production systems. the jobs processing times",A Nearchou,gs
Andreas Nearchou,27,a populationbased algorithm biobjective assembly line worker assignment balancing problem,"P Zacharia, A Nearchou",engineering applications of artificial,2016.0,a multi-objective evolutionary algorithm (moea) presented solution bi-criteria assembly line worker assignment balancing problem (alwabp). this problem consists determining best assignment assembly tasks workers workers,A Nearchou,gs
Andreas Nearchou,27,a differential evolution approach common date earlytardy job scheduling problem,A Nearchou,computers & operations research,2008.0,the problem scheduling multiple jobs single machine completed common specified date addressed paper. this type scheduling set costs depend job finished (earliness) (tardiness) specified date.,A Nearchou,gs
Andreas Nearchou,27,multiobjective balancing assembly lines population heuristics,A Nearchou,international journal of production research,2008.0,this paper concerned solution multi-objective single-model deterministic assembly line balancing problem (albp). two bi-criteria objectives considered: minimising cycle time assembly line balance delay time workstations.,A Nearchou,gs
Andreas Nearchou,27,path planning mobile robot genetic heuristics,A Nearchou,robotica,1998.0,"a genetic algorithm path planning problem mobile robot moving picking loads way presented. assuming findpath problem graph, proposed algorithm determines near-optimal path solution bit-string encoding selected",A Nearchou,gs
Andreas Nearchou,27,differential evolution sequencing scheduling optimization,"A Nearchou, S Omirou",journal of heuristics,2006.0,this paper presents stochastic method based differential evolution (de) algorithm address wide range sequencing scheduling optimization problems. de simple effective adaptive scheme developed global optimization continuous spaces. in,A Nearchou,gs
Andreas Nearchou,27,financial relationships economic analyses targeted therapies oncology,"A Valachis, N Polyzos, A Nearchou, P Lind",journal of clinical,2012.0,purpose a potential financial relationship investigators pharmaceutical manufacturers associated increased likelihood reporting favorable conclusions sponsor's proprietary agent pharmacoeconomic studies. the purpose,A Nearchou,gs
Andreas Nearchou,27,cardiac toxicity breast cancer patients treated dual her2 blockade,"A Valachis, A Nearchou, N Polyzos",international journal of,2013.0,although dual her2 blockade shows promising results patients her2‐positive breast cancer unclear treatment strategy increases risk cardiac adverse events. we conducted meta‐analysis randomized trials investigate risk cardiac,A Nearchou,gs
Andreas Nearchou,27,lapatinib trastuzumab combination added preoperative chemotherapy breast cancer metaanalysis randomized evidence,"A Valachis, A Nearchou, P Lind, D Mauri",breast cancer research and,2012.0,we compared efficacy safety addition lapatinib versus trastuzumab combination neoadjuvant chemotherapy her2-positive breast cancer. potentially eligible trials located pubmed cochrane library searches abstracts,A Nearchou,gs
Andreas Nearchou,27,a novel metaheuristic approach flow shop scheduling problem,A Nearchou,engineering applications of artificial intelligence,2004.0,"advances modern manufacturing systems cad/cam, fms, cim, increased use intelligent techniques solving combinatorial np-hard sequencing scheduling problems. production process systems consists workshop",A Nearchou,gs
Andreas Nearchou,27,a metaheuristic algorithm fuzzy assembly line balancing typee problem,"P Zacharia, A Nearchou",computers & operations research,2013.0,consideration given single-model assembly line balancing problem fuzzy task processing times. the problem referred f-salbp-e consists finding combination number workstations cycle time respective line balance,A Nearchou,gs
Andreas Nearchou,27,high versus low radioiodine activity patients differentiated thyroid cancer metaanalysis,"A Valachis, A Nearchou",acta oncologica,2013.0,background. the purpose meta-analysis estimate effectiveness toxicity low activity radioiodine ablation versus high activity patients differentiated thyroid cancer (dtc). design. a systematic review meta-analysis performed including,A Nearchou,gs
Andreas Nearchou,27,adaptive navigation autonomous vehicles evolutionary algorithms,A Nearchou,artificial intelligence in engineering,1999.0,"autonomous vehicles able navigate freely constrained unknown environment performing desired task. to increase autonomy, vehicle provided sophisticated software navigators. traditionally, navigators build convenient model",A Nearchou,gs
Andreas Nearchou,27,acquired hypothyroidism predictive marker outcome patients metastatic renal cell carcinoma treated tyrosine kinase inhibitors literature ,"A Nearchou, A Valachis, P Lind, O Akre",clinical genitourinary,2015.0,"hypothyroidism patients metastatic renal cell carcinoma (mrcc) treatment tyrosine kinase inhibitors (tkis) sunitinib sorafenib well-established effect. furthermore, potential role hypothyroidism predictive marker outcome",A Nearchou,gs
Andreas Nearchou,27,a particle swarm optimization algorithm balancing assembly lines,"D Petropoulos, A Nearchou",assembly automation,2011.0,purpose – the purpose paper apply particle swarm optimization (pso) known combinatorial optimization algorithm multi‐objective (mo) balancing large assembly lines. design/methodology/approach – a novel approach based pso developed tackle,A Nearchou,gs
Andreas Nearchou,27,a genetic path planning algorithm redundant articulated robots,"A Nearchou, N Aspragathos",robotica,1997.0,"in daily tasks, pick place, robot requested reach hand tip desired target location operating environment. such tasks complex environments cluttered obstacles, constraint collision-free",A Nearchou,gs
Andreas Nearchou,27,an evolutionary algorithm generating planar developments arbitrarily curved surfaces,"P Azariadis, A Nearchou, N Aspragathos",computers in industry,2002.0,"in paper, new method based constrained global optimization proposed generating planar developments arbitrarily three-dimensional surfaces. with method initial planar development derived refined order satisfy certain criteria. this",A Nearchou,gs
Andreas Nearchou,27,a cnc machine tool interpolator surfaces crosssectional design,"S Omirou, A Nearchou",robotics and computer-integrated,2007.0,"a machining strategy milling particular set surfaces, obtained technique cross-sectional design proposed. the surfaces considered formed sliding bezier curve (profile curve) bezier curve (trajectory curve). the curves located",A Nearchou,gs
Andreas Nearchou,27,scheduling controllable processing times compression costs populationbased heuristics,A Nearchou,international journal of production research,2010.0,"this paper considers single machine scheduling problem jobs controllable processing times compression costs objective minimise total weighted job completion time plus cost compression. the problem known intractable,",A Nearchou,gs
Andreas Nearchou,27,flowshop sequencing hybrid simulated annealing,A Nearchou,journal of intelligent manufacturing,2004.0,"simulated annealing (sa) heuristics successfully applied variety complex optimization problems. this paper presents new hybrid sa approach permutation flow-shop scheduling (fss) problem. fss known np-hard, right way",A Nearchou,gs
Ulrika Bergqvist,2,varumärkesinriktad positionering en fallstudie av icasnordeas etablering estland,"U Bergqvist, A Hermansson",,2003.0,… ulrika bergqvist anna hermansson författare ulrika bergqvist & anna hermansson ulrika bergqvist & anna hermansson,U Bergqvist,gs
Ulrika Bergqvist,2,träningens betydelse för den självskattade hälsan vikten av arbetsgivarens engagemang,U Bergqvist,,2014.0,"med bakgrund av träningens betydelse för upprätthållandet av individens hälsa har denna studie riktats till att undersöka huruvida träningen bidrar till en bättre självskattad hälsa, srh, eller inte och med hänsyn till träning tillhandahållen av arbetsgivaren eller annan träning.",U Bergqvist,gs
Ann Dreifaldt,7,increasing incidence rates childhood malignant diseases sweden period 19601998,"A Dreifaldt, M Carlberg, L Hardell",european journal of cancer,2004.0,"we analysed trends incidence rates childhood cancer sweden. all cases malignant diseases benign brain tumours children, 0–14 years old, reported swedish cancer registry 1960 1998 included, n=9298. cases classified according",A Dreifaldt,gs
Ann Dreifaldt,7,differences outcome cervical cancer patients treated brachytherapy,"J Karlsson, A Dreifaldt, L Mordhorst, B Sorbe",brachytherapy,2017.0,"purpose to compare clinical outcome cervical cancer patients treated primary radiotherapy addition brachytherapy. methods materials in all, 220 patients cervical cancer stage i–iv treated 1993 2009 included. three",A Dreifaldt,gs
Ann Dreifaldt,7,breastfeeding duration risk malignant diseases childhood sweden,"L Hardell, A Dreifaldt",european journal of clinical nutrition,2001.0,setting: sweden. records child healthcare centres scrutinised information breast-feeding health-related items. subjects: all children aged 0–14 y malignant disease (benign brain tumours included) time period 1988–91 (n=,A Dreifaldt,gs
Ann Dreifaldt,7,incidence rates malignant diseases childhood adolescence children swedish fishermen,"A Dreifaldt, M Carlberg, L Hardell",,2006.0,"the trends malignant diseases children aged 0 14 years, reported swedish cancer registry 1960–1998 (n= 9 298) analyzed. the common diagnoses leukemia, 29.7%, tumors central nervous (cns), 27.6%, lymphomas, 10.2%.",A Dreifaldt,gs
Ann Dreifaldt,7,epidemiological aspects malignant diseases childhood,A Dreifaldt,,2006.0,"the trends malignant diseases children aged 0 14 years, reported swedish cancer registry 1960–1998 (n= 9 298) analyzed. the common diagnoses leukemia, 29.7%, tumors central nervous (cns), 27.6%, lymphomas, 10.2%.",A Dreifaldt,gs
Ann Dreifaldt,7,journal oncology research therapy,"A Dreifaldt, L Mordhorst, B Sorbe",iib ,,"purpose: the purpose study investigate results primary remission, recurrences, survival toxicity treating cervical cancer external beam irradiation addition brachytherapy determine prognostic factors associated",A Dreifaldt,gs
Ann Dreifaldt,7,vaccinations chronic illness swedish children preceding diagnosis leukemia malignant lymphoma brain tumor,"A Dreifaldt, B Werner, M Carlberg, L Hardell",,2006.0,"the trends malignant diseases children aged 0 14 years, reported swedish cancer registry 1960–1998 (n= 9 298) analyzed. the common diagnoses leukemia, 29.7%, tumors central nervous (cns), 27.6%, lymphomas, 10.2%.",A Dreifaldt,gs
Anna Nordenskjöld,22,diagnostic value serial measurement cardiac markers patients chest pain limited value adding myoglobin troponin i exclusion ,"K Eggers, J Oldgren, A Nordenskjöld, B Lindahl",american heart journal,2004.0,"background despite improved laboratory assays cardiac markers revised standard definition myocardial infarction (ami), early detection coronary ischemia unselected patients chest pain remains difficult challenge. methods rapid measurements",A Nordenskjöld,gs
Anna Nordenskjöld,22,predictors adverse outcome patients myocardial infarction nonobstructive coronary artery minoca disease,"A Nordenskjöld, T Baron, K Eggers",international journal of,2018.0,background myocardial infarction (mi) non-obstructive coronary arteries (minocas) increasingly recognized entity. no previous study evaluated predictors new major adverse cardiacvascular events (maces) death patients minoca. methods we,A Nordenskjöld,gs
Anna Nordenskjöld,22,shortand longterm individual variation cardiac troponin patients stable coronary artery disease,"A Nordenskjöld, H Ahlström, K Eggers",clinical,2013.0,background a rise fall cardiac troponin prerequisite diagnosis acute myocardial infarction. defining significant changes requires knowledge biological analytical variation. the short-term biological variation cardiac troponin healthy,A Nordenskjöld,gs
Anna Nordenskjöld,22,reinfarction patients myocardial infarction nonobstructive coronary arteries minoca coronary findings prognosis,"A Nordenskjöld, B Lagerqvist, T Baron",the american journal of,2019.0,background myocardial infarction (mi) nonobstructive coronary arteries (minoca) common. there limited data mechanisms prognosis reinfarction minoca patients. methods in observational study minoca patients hospitalized sweden,A Nordenskjöld,gs
Anna Nordenskjöld,22,assessment 25year survival women estrogen receptorpositiveerbb2negative breast cancer treated tamoxifen therapy secondary ,"H Dar, A Johansson, A Nordenskjöld, A Iftimi",jama network,2021.0,"importance clinically breast cancer markers, tumor size, tumor grade, progesterone receptor (pr) status, ki-67 status, known associated short-term survival, association markers long-term (25-year) survival unclear.",A Nordenskjöld,gs
Anna Nordenskjöld,22,circadian onset prognosis myocardial infarction nonobstructive coronary arteries minoca,"A Nordenskjöld, K Eggers, T Jernberg",plos one,2019.0,background many acute cardiovascular events myocardial infarction (mi) follow circadian rhythms. myocardial infarction non-obstructive coronary arteries (minoca) newly noticed entity limited data onset pattern impact prognosis. material,A Nordenskjöld,gs
Anna Nordenskjöld,22,progesterone receptor positivity predictor longterm benefit adjuvant tamoxifen treatment estrogen receptor positive breast cancer,"A Nordenskjöld, H Fohlin, T Fornander",breast cancer research,2016.0,"purpose the independent predictive information progesterone receptor (pgr) positivity breast cancer treated tamoxifen questioned overview early breast cancer trialists’ collaborative group (ebctcg). however, studies",A Nordenskjöld,gs
Anna Nordenskjöld,22,randomized evaluation beta blocker aceinhibitorangiotensin receptor blocker treatment patients myocardial infarction nonobstructive ,"A Nordenskjöld, S Agewall, D Atar, T Baron",american heart,2021.0,background myocardial infarction non-obstructive coronary arteries (minoca) common occurs 6–8% patients fulfilling diagnostic criteria acute myocardial infarction (ami). this paper describes rationale trial ‘randomized evaluation,A Nordenskjöld,gs
Anna Nordenskjöld,22,unrecognized myocardial infarction assessed cardiac magnetic resonance imaging associated adverse longterm prognosis,"A Nordenskjöld, P Hammar, H Ahlström, T Bjerner",plos,2018.0,"background unrecognized myocardial infarctions (umis) common. the study extension previous study, aiming investigate long-term (>5 year) prognostic implication late gadolinium enhancement cardiovascular magnetic resonance (lge-cmr) detected",A Nordenskjöld,gs
Anna Nordenskjöld,22,unrecognized myocardial infarction assessed cardiac magnetic resonance imagingprognostic implications,"A Nordenskjöld, P Hammar, H Ahlström, T Bjerner",plos one,2016.0,background clinically unrecognized myocardial infarctions (umi) uncommon associated adverse outcome. the aims study determine prognostic implication umi patients stable suspected coronary artery disease (cad),A Nordenskjöld,gs
Anna Nordenskjöld,22,breast cancer survival trends different stages age groupsa populationbased study 19892013,"A Nordenskjöld, H Fohlin, L Arnesson",acta,2019.0,"background: during recent decades, breast cancer survival gradually improved limited knowledge improvement population-based studies patients diagnosed different stages disease different age groups. patients methods:",A Nordenskjöld,gs
Anna Nordenskjöld,22,major adverse cardiovascular events following electroconvulsive therapy depression a registerbased nationwide swedish cohort study 1year follow ,"A Nordenskjöld, P Güney, A Nordenskjöld",journal of affective disorders,2022.0,"background the cardiovascular response electroconvulsive therapy (ect) induce major adverse cardiovascular events (mace) short-term, reduced depression decrease risk mace long-term. the balance potential",A Nordenskjöld,gs
Anna Nordenskjöld,22,unrecognized myocardial infarctions assessed cardiovascular magnetic resonance associated severity stenosis supplying ,"P Hammar, A Nordenskjöld",journal of,2015.0,"a previous study shown increased prevalence late gadolinium enhancement cardiovascular magnetic resonance (lge cmr) detected unrecognized myocardial infarction (umi) increasing extent severity coronary artery disease. however, coronary",A Nordenskjöld,gs
Anna Nordenskjöld,22,deoxynucleoside phosphorylating enzymes monkey human tissues great similarities mouse deoxycytidine kinase different substrate ,"A Habteyesus, A Nordenskjöld, C Bohman",biochemical,1991.0,"three key enzymes anabolic phosphorylation deoxyribonucleosides deoxyribonucleoside analogs purified cytoplasmic thymidine kinase (tk1), mitochondrial thymidine kinase (tk2) cytoplasmic deoxycytidine kinase (dck) human, mouse",A Nordenskjöld,gs
Anna Nordenskjöld,22,combining different biochemical markers myocardial ischemia improve risk stratification chest pain patients compared troponin i,"K Eggers, J Oldgren, A Nordenskjöld",coronary artery,2005.0,objective early evaluation patients chest pain important detection acute myocardial infarction (ami) identification patients high risk future cardiac events. a multimarker strategy applying results early measurements different,A Nordenskjöld,gs
Anna Nordenskjöld,22,shortand longterm individual variation ntprobnp levels patients stable coronary artery disease,"A Nordenskjöld, H Ahlström, K Eggers, O Fröbert",clinica chimica,2013.0,background in addition diagnosis heart failure (hf) natriuretic peptides (bnp nt-probnp) risk prediction stable acute coronary artery disease. the aim study evaluate short- long-term individual variation nt-probnp,A Nordenskjöld,gs
Anna Nordenskjöld,22,risk prediction patients chest pain early assessment combination troponin i results electrocardiographic findings,"K Eggers, J Oldgren, A Nordenskjöld",coronary artery,2005.0,objective to evaluate prognostic value point care troponin i (tni) results combination findings admission electrocardiogram (ecg) patients chest pain. methods rapid measurements tni performed 191 consecutive patients chest,A Nordenskjöld,gs
Anna Nordenskjöld,22,proprotein convertase subtilisinkexin type 9 mortality patients starting hemodialysis,"T Strålberg, A Nordenskjöld, Y Cao",european journal of,2019.0,"background cardiovascular events leading cause death end stage renal disease (esrd), traditional markers dyslipidemia clearly associated cardiovascular risk population. proprotein convertase subtilsin/kexin type 9 (pcsk‐9)",A Nordenskjöld,gs
Anna Nordenskjöld,22,unrecognized myocardial infarctions detected cardiac magnetic resonance imaging associated cardiac troponin i levels,"A Nordenskjöld, P Hammar, H Ahlström, T Bjerner",clinica chimica,2016.0,"background both unrecognized myocardial infarction (umi) elevated levels biomarkers common patients stable coronary artery disease (cad). the objective study determine association levels cardiac biomarkers, umi extent",A Nordenskjöld,gs
Anna Nordenskjöld,22,unrecognized myocardial infarction cardiac biochemical markers patients stable coronary artery disease,A Nordenskjöld,,2016.0,aim: the overarching aim thesis explore occurrence clinical importance manifestations myocardial injury; unrecognized myocardial injury (umi) altered levels cardiac biochemical markers patients stable coronary artery disease (cad)…,A Nordenskjöld,gs
Anna Nordenskjöld,22,to predict results breast cancer therapy,A Nordenskjöld,,2019.0,"we complete national swedish cancer register, regional quality management register randomized adjuvant endocrine trial study, effect radiotherapy breast cancer 1-3 positive nodes (study 1), effect tamoxifen estrogen",A Nordenskjöld,gs
Anna Nordenskjöld,22,breast cancer survival trends different stages age groupsa populationbased study,"A Nordenskjöld, H Fohlin, L Arnesson, Z Einbeigi",researchgate.net,,"background: during recent decades, breast cancer survival gradually improved limited knowledge improvement population-based studies patients diagnosed different stages disease different age groups. patients methods:",A Nordenskjöld,gs
Anna Väppling,2,adherence adjuvant endocrine therapy breast cancer sweden 20082010 a nationwide survey,"A Andersson, A Väppling, A Jong",,2019.0,523 background: in estrogen receptor (er) positive early breast cancer (ebc) adjuvant endocrine therapy (aet) crucial reduce recurrence mortality. previous studies shown adherence aet lower expected negatively affect outcome. since,A Väppling,gs
Anna Väppling,2,breast cancer cases surveillance program report hereditary department south general hospital sweden,"A Karumo, L Thorén, A Väppling",,2019.0,"e13068 background: women doubled, greater, lifetime risk developing breast cancer according swedish guidelines offered intensified surveillance following modalities; mammography (mg), ultrasound (us) magnetic resonance",A Väppling,gs
Anna Tzikas,2,a comparison young old patients triplenegative breast cancer biology survival metastatic patterns,"A Tzikas, S Nemes, B Linderholm",breast cancer research and,2020.0,"purpose to determine biology, recurrence rate, metastatic patterns survival times primary triple-negative breast cancer (tnbc) focus comparison younger elderly patients. methods patients primary tnbc stage i–iv diagnosed 2007",A Tzikas,gs
Anna Tzikas,2,abstract p21405 adjuvant chemotherapy elderly women triplenegative breast cancer swedish registry data 20092017,"S Janeva, C Zhang, A Kovács, T Parris, A Tzikas",,2020.0,"background: breast cancer incidence strongly related age, highest incidence rates elderly women. triple-negative breast cancer (tnbc) aggressive form breast cancer associated worse survival. due competing mortality risks co-…",A Tzikas,gs
Anna Wennstig,11,the relationship radiation doses coronary arteries location coronary stenosis requiring intervention breast cancer survivors,"A Wennstig, H Garmo, U Isacsson",radiation,2019.0,to assess relationship radiation doses coronary arteries (cas) location coronary stenosis required intervention three-dimensional conformal radiotherapy (3dcrt) breast cancer (bc). the study population consisted 182 women,A Wennstig,gs
Anna Wennstig,11,interobserver variation delineating coronary arteries organs risk,"A Wennstig, H Garmo, P Hållström",radiotherapy and,2017.0,purpose to determine inter-observer variation delineating coronary arteries organs risk (oar) breast cancer (bc) radiotherapy (rt) variation affects estimated coronary artery radiation dose. method delineation left main left,A Wennstig,gs
Anna Wennstig,11,influenza vaccination breast cancer patients subcutaneous trastuzumab adjuvant setting,"T Joona, E Digkas, A Wennstig, K Nyström",breast cancer research,2020.0,"background despite current recommendation influenza vaccination cancer patients active oncological therapy, limited data available efficacy vaccination cancer patients receiving targeted therapies. we aimed investigate immunogenicity",A Wennstig,gs
Anna Wennstig,11,impact chemotherapy radiotherapy endocrine therapy sick leave women earlystage breast cancer 5year period population ,"A Plym, A Johansson, H Bower, A Wennstig",breast cancer research,2020.0,purpose to examine influence type oncological treatment sick leave women working age early-stage breast cancer. methods we identified 8870 women aged 30–64 diagnosed stage i–ii breast cancer 2005 2012 breast cancer,A Wennstig,gs
Anna Wennstig,11,data resource profile breast cancer data base sweden 20 bcbase 20,"C Wadsten, A Wennstig, H Garmo",international journal,2021.0,"advance access publication date: 2 september 2021 data resource profile linked national demographic population-based health care registers, information wide range variables socioeconomic factors comorbidity. in cohort,",A Wennstig,gs
Anna Wennstig,11,exploring emotion recognition understanding others unspoken thoughts feelings narrating selfexperienced emotional events,"A Flykt, T Hörlin, F Linder, A Wennstig",journal of nonverbal,2021.0,"emotion decoding competence addressed different ways. in study, clinical psychology, nursing, social work students narrated 2.5–3 min story self-experienced emotional event listened student’s story. participants video",A Wennstig,gs
Anna Wennstig,11,longterm effects radiotherapy breast cancer studies ischemic heart disease lung cancer,A Wennstig,,2020.0,"breast cancer (bc) common cancer women worldwide. due early detection advances adjuvant therapies, women diagnosed early bc cured disease, issues survivorship great importance. adjuvant radiotherapy (rt)",A Wennstig,gs
